,Season,TeamCode,GP,GW,GL,WinPc,LossPc,Rank,roster,F_Mean,D_Mean
0,2010,VAN,82,54,28,0.6585365853658537,0.3414634146341464,1.0,18.0,1.5760549748354638,1.8397212543554005
1,2010,PIT,82,49,33,0.5975609756097561,0.4024390243902439,2.0,18.0,1.8291231126596974,1.7115563298490135
2,2010,SJ,82,48,34,0.5853658536585366,0.4146341463414634,3.5,18.0,1.608894696089818,1.8484320557491294
3,2010,WSH,82,48,34,0.5853658536585366,0.4146341463414634,3.5,18.0,1.6755903987611318,1.7337398373983746
4,2010,ANA,82,47,35,0.573170731707317,0.4268292682926829,6.0,18.0,1.7419957413859837,1.839430894308944
5,2010,DET,82,47,35,0.573170731707317,0.4268292682926829,6.0,18.0,1.7128823073945019,1.7058652729384434
6,2010,PHI,82,47,35,0.573170731707317,0.4268292682926829,6.0,18.0,1.5993902439024383,1.6666666666666679
7,2010,BOS,82,46,36,0.5609756097560976,0.4390243902439024,9.0,18.0,1.6640824622531936,1.8353658536585362
8,2010,LA,82,46,36,0.5609756097560976,0.4390243902439024,9.0,18.0,1.760027100271003,1.6811846689895482
9,2010,TB,82,46,36,0.5609756097560976,0.4390243902439024,9.0,18.0,1.5177797135114204,2.0
10,2010,CHI,82,44,38,0.5365853658536586,0.4634146341463415,12.5,18.0,1.7611498257839717,1.6800232288037174
11,2010,MTL,82,44,38,0.5365853658536586,0.4634146341463415,12.5,18.0,1.8628242353852118,1.8307200929152145
12,2010,NSH,82,44,38,0.5365853658536586,0.4634146341463415,12.5,18.0,1.6197251258226883,1.6909407665505236
13,2010,NYR,82,44,38,0.5365853658536586,0.4634146341463415,12.5,18.0,1.571138211382114,2.0
14,2010,BUF,82,43,39,0.5243902439024389,0.475609756097561,15.5,18.0,1.5293263646922182,1.840011614401859
15,2010,PHX,82,43,39,0.5243902439024389,0.475609756097561,15.5,18.0,1.7738385598141697,1.8342044134727065
16,2010,DAL,82,42,40,0.5121951219512195,0.4878048780487805,17.0,18.0,1.6268195896244662,2.0
17,2010,CGY,82,41,41,0.5,0.5,18.0,18.0,1.738956639566397,1.8347125435540068
18,2010,CAR,82,40,42,0.4878048780487805,0.5121951219512195,19.0,18.0,1.769376693766937,1.6869918699186996
19,2010,MIN,82,39,43,0.475609756097561,0.5243902439024389,20.0,18.0,1.8723867595818822,1.8385598141695705
20,2010,NJ,82,38,44,0.4634146341463415,0.5365853658536586,21.5,18.0,1.6992837785520707,2.0
21,2010,STL,82,38,44,0.4634146341463415,0.5365853658536586,21.5,18.0,1.7427216415021285,1.8414634146341464
22,2010,TOR,82,37,45,0.451219512195122,0.5487804878048781,23.0,18.0,1.6607046070460711,1.8835656213704988
23,2010,ATL,82,34,48,0.4146341463414634,0.5853658536585366,24.5,18.0,1.8850948509485088,1.7292102206736364
24,2010,CBJ,82,34,48,0.4146341463414634,0.5853658536585366,24.5,18.0,1.7593205574912898,2.0
25,2010,OTT,82,32,50,0.3902439024390244,0.6097560975609756,26.0,18.0,1.8912601626016265,1.7137049941927998
26,2010,COL,82,30,52,0.36585365853658536,0.6341463414634146,28.0,18.0,1.8132275132275126,1.8480255516840878
27,2010,FLA,82,30,52,0.36585365853658536,0.6341463414634146,28.0,18.0,1.927710027100271,1.8765969802555158
28,2010,NYI,82,30,52,0.36585365853658536,0.6341463414634146,28.0,18.0,1.6084010840108407,2.0
29,2010,EDM,82,25,57,0.3048780487804878,0.6951219512195121,30.0,18.0,1.6529616724738683,1.9294425087108018
