,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,VPlayer1,VPlayer1Position,VPlayer2,VPlayer2Position,VPlayer3,VPlayer3Position,VPlayer4,VPlayer4Position,VPlayer5,VPlayer5Position,VPlayer6,VPlayer6Position,HPlayer1,HPlayer1Position,HPlayer2,HPlayer2Position,HPlayer3,HPlayer3Position,HPlayer4,HPlayer4Position,HPlayer5,HPlayer5Position,HPlayer6,HPlayer6Position,TeamCode,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,VPlayerNumber,VPlayerName,HTeamCode,HPlayerNumber,HPlayerName,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player,TBGoalandEvent,Counts,block,faceoff,giveaway,goal,hit,miss,penalty,shot,takeaway,eventvalue,heventvalue,veventvalue,vp1,vp2,vp3,vp4,vp5,vp6,hp1,hp2,hp3,hp4,hp5,hp6,tvp1,tvp2,tvp3,tvp4,tvp5,tvp6,thp1,thp2,thp3,thp4,thp5,thp6,plyr1,plyr2,plyr3,plyr4,plyr5,plyr6
30,2010,20001,34.0,1,EV,401,799.0,HIT,"TOR #28 ORR HIT MTL #14 PLEKANEC, Off. Zone",14.0,C,81.0,C,46.0,L,20.0,D,45.0,D,31.0,G,37.0,C,18.0,R,28.0,R,3.0,D,36.0,D,35.0,G,TOR,,,,O,,,,,,,MTL,,,TOR,,,TOR,28.0,ORR,MTL,14.0,PLEKANEC,,,,,,,,,1.0,402.0,,,1.0,27,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.5185185185185185,-0.5185185185185185,-0.5185185185185185,-0.33333333333333337,-0.33333333333333337,0.2962962962962963,0.4814814814814815,0.33333333333333337,0.08333333333333334,0.4444444444444444,-0.037037037037037035,-0.2962962962962963,-0.5185185185185185,-0.5185185185185185,-0.5185185185185185,-0.33333333333333337,-0.33333333333333337,0.2962962962962963,0.4814814814814815,0.33333333333333337,0.08333333333333334,0.4444444444444444,-0.037037037037037035,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
31,2010,20001,35.0,1,EV,402,798.0,GOAL,"TOR #37 BRENT(1), Tip-In, Off. Zone, 22 ft.Assist: #3 PHANEUF(1)",14.0,C,81.0,C,46.0,L,20.0,D,45.0,D,31.0,G,37.0,C,18.0,R,28.0,R,3.0,D,22.0,D,35.0,G,TOR,37.0,BRENT,Tip-In,O,22.0,,,,,,MTL,,,TOR,,,,,,,,,,,,,,,,,1.0,402.0,3 D.PHANEUF(1),,0.0,27,0,0,0,1,0,0,0,0,0,0.25925925925925924,0.25925925925925924,-0.25925925925925924,-0.5185185185185185,-0.5185185185185185,-0.5185185185185185,-0.33333333333333337,-0.33333333333333337,0.2962962962962963,0.4814814814814815,0.33333333333333337,0.08333333333333334,0.4444444444444444,-0.4444444444444444,-0.2962962962962963,-0.5185185185185185,-0.5185185185185185,-0.5185185185185185,-0.33333333333333337,-0.33333333333333337,0.2962962962962963,0.4814814814814815,0.33333333333333337,0.08333333333333334,0.4444444444444444,-0.4444444444444444,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
41,2010,20001,47.0,1,EV,523,677.0,FAC,MTL won Neu. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,8.0,D,36.0,D,35.0,G,MTL,,,,N,,,,,,MTL,MTL,15.0,HALPERN,TOR,42.0,BOZAK,,,,,,,,,,,,,,2010-10-07,2.0,537.0,,,14.0,27,0,1,0,0,0,0,0,0,0,0.14814814814814814,-0.14814814814814814,0.14814814814814814,0.2962962962962963,0.8518518518518519,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.2962962962962963,0.8518518518518519,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
42,2010,20001,48.0,1,EV,531,669.0,HIT,"TOR #8 KOMISAREK HIT MTL #52 DARCHE, Neu. Zone",15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,8.0,D,36.0,D,35.0,G,TOR,,,,N,,,,,,,MTL,,,TOR,,,TOR,8.0,KOMISAREK,MTL,52.0,DARCHE,,,,,,,,,2.0,537.0,,,6.0,27,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.2962962962962963,0.8518518518518519,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.2962962962962963,0.8518518518518519,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
43,2010,20001,49.0,1,EV,537,663.0,GOAL,"TOR #81 KESSEL(1), Wrist, Off. Zone, 14 ft.Assists: #42 BOZAK(1); #8 KOMISAREK(1)",15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,8.0,D,36.0,D,35.0,G,TOR,81.0,KESSEL,Wrist,O,14.0,,,,,,MTL,,,TOR,,,,,,,,,,,,,,,,,2.0,537.0,42 T.BOZAK(1),8 M.KOMISAREK(1),0.0,27,0,0,0,1,0,0,0,0,0,0.25925925925925924,0.25925925925925924,-0.25925925925925924,0.2962962962962963,0.8518518518518519,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.2962962962962963,0.8518518518518519,0.1111111111111111,0.2962962962962963,0.2962962962962963,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
60,2010,20001,66.0,1,EV,737,463.0,SHOT,"MTL ONGOAL - #17 BOYD, Wrap-around, Off. Zone, 13 ft.",17.0,C,40.0,C,52.0,L,6.0,D,76.0,D,31.0,G,84.0,C,32.0,R,41.0,L,8.0,D,36.0,D,35.0,G,MTL,17.0,BOYD,Wrap-around,O,13.0,,,,,,MTL,,,TOR,,,,,,,,,,,,,,,,,3.0,739.0,,,2.0,27,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.6666666666666666,0.8518518518518519,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.4444444444444445,-0.5555555555555556,-0.08888888888888889,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.6666666666666666,0.8518518518518519,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.4444444444444445,-0.5555555555555556,-0.08888888888888889,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
61,2010,20001,67.0,1,EV,738,462.0,GIVE,"TOR&nbsp;GIVEAWAY - #36 GUNNARSSON, Def. Zone",17.0,C,40.0,C,52.0,L,6.0,D,76.0,D,31.0,G,84.0,C,32.0,R,41.0,L,8.0,D,36.0,D,35.0,G,TOR,36.0,GUNNARSSON,,D,,,,,,,MTL,,,TOR,,,,,,,,,,,,,,,,,3.0,739.0,,,1.0,27,0,0,1,0,0,0,0,0,0,-0.07407407407407407,-0.07407407407407407,0.07407407407407407,0.6666666666666666,0.8518518518518519,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.4444444444444445,-0.5555555555555556,-0.08888888888888889,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.6666666666666666,0.8518518518518519,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.4444444444444445,-0.5555555555555556,-0.08888888888888889,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
62,2010,20001,68.0,1,EV,739,461.0,GOAL,"MTL #17 BOYD(1), Snap, Off. Zone, 11 ft.&nbsp;",17.0,C,40.0,C,52.0,L,6.0,D,76.0,D,31.0,G,84.0,C,32.0,R,41.0,L,8.0,D,36.0,D,35.0,G,MTL,17.0,BOYD,Snap,O,11.0,,,,,,MTL,,,TOR,,,,,,,,,,,,,,,,,3.0,739.0,unassisted,,0.0,27,0,0,0,1,0,0,0,0,0,0.25925925925925924,-0.25925925925925924,0.25925925925925924,0.6666666666666666,0.8518518518518519,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.4444444444444445,-0.5555555555555556,-0.08888888888888889,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.6666666666666666,0.8518518518518519,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.4444444444444445,-0.5555555555555556,-0.08888888888888889,-0.7407407407407407,-0.037037037037037035,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
88,2010,20001,115.0,2,EV,77,1123.0,MISS,"MTL #76 SUBBAN, Wrist, Wide of Net, Off. Zone, 59 ft.",17.0,C,21.0,R,52.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,3.0,D,15.0,D,35.0,G,MTL,76.0,SUBBAN,Wrist,O,59.0,Wide of Net,,,,,MTL,,,TOR,,,,,,,,,,,,,,,,,4.0,96.0,,,19.0,27,0,0,0,0,0,1,0,0,0,0.037037037037037035,-0.037037037037037035,0.037037037037037035,0.6666666666666666,-0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,0.4444444444444444,0.18518518518518517,-0.2962962962962963,0.6666666666666666,-0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,0.4444444444444444,0.18518518518518517,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
89,2010,20001,116.0,2,EV,82,1118.0,BLOCK,"MTL #6 SPACEK BLOCKED BY  TOR #3 PHANEUF, Wrist, Def. Zone",11.0,C,21.0,R,52.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,3.0,D,15.0,D,35.0,G,TOR,3.0,PHANEUF,Wrist,D,,,MTL,6.0,SPACEK,,MTL,,,TOR,,,,,,,,,,,,,,,,,4.0,96.0,,,14.0,27,1,0,0,0,0,0,0,0,0,0.07407407407407407,0.07407407407407407,-0.07407407407407407,-0.14814814814814814,-0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,0.4444444444444444,0.18518518518518517,-0.2962962962962963,-0.14814814814814814,-0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,-0.48148148148148145,-0.25925925925925924,-0.028806584362139915,0.4444444444444444,0.18518518518518517,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
90,2010,20001,117.0,2,EV,89,1111.0,HIT,"TOR #22 BEAUCHEMIN HIT MTL #21 GIONTA, Def. Zone",11.0,C,21.0,R,52.0,L,6.0,D,76.0,D,31.0,G,37.0,C,9.0,R,11.0,L,2.0,D,22.0,D,35.0,G,TOR,,,,D,,,,,,,MTL,,,TOR,,,TOR,22.0,BEAUCHEMIN,MTL,21.0,GIONTA,,,,,,,,,4.0,96.0,,,7.0,27,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.14814814814814814,-0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.4814814814814815,0.07407407407407407,0.037037037037037035,0.2222222222222222,-0.4444444444444444,-0.2962962962962963,-0.14814814814814814,-0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.4814814814814815,0.07407407407407407,0.037037037037037035,0.2222222222222222,-0.4444444444444444,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
91,2010,20001,118.0,2,EV,93,1107.0,GIVE,"TOR&nbsp;GIVEAWAY - #35 GIGUERE, Def. Zone",11.0,C,21.0,R,57.0,L,6.0,D,76.0,D,31.0,G,37.0,C,9.0,R,11.0,L,2.0,D,22.0,D,35.0,G,TOR,35.0,GIGUERE,,D,,,,,,,MTL,,,TOR,,,,,,,,,,,,,,,,,4.0,96.0,,,3.0,27,0,0,1,0,0,0,0,0,0,-0.07407407407407407,-0.07407407407407407,0.07407407407407407,-0.14814814814814814,-0.1111111111111111,0.6296296296296295,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.4814814814814815,0.07407407407407407,0.037037037037037035,0.2222222222222222,-0.4444444444444444,-0.2962962962962963,-0.14814814814814814,-0.1111111111111111,0.6296296296296295,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.4814814814814815,0.07407407407407407,0.037037037037037035,0.2222222222222222,-0.4444444444444444,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0
