,Season,TeamCode,GP,W,L,GF,GA,WinPc,LossPc,Mean_F,Mean_D,Rank_W,Rank_F,Rank_D
70,2010,VAN,73,48,25,238,175,0.6575342465753424,0.3424657534246575,1.6027397260273992,1.6004566210045645,1.0,4.0,8.0
22,2010,SJ,65,41,24,206,158,0.6307692307692307,0.36923076923076925,1.5192307692307692,1.5358974358974342,2.0,1.0,2.0
36,2010,BOS,76,45,31,228,176,0.5921052631578947,0.40789473684210525,1.6030701754385996,1.5307017543859642,3.0,5.0,1.0
30,2010,DET,68,40,28,220,201,0.5882352941176471,0.4117647058823529,1.6360294117647072,1.546568627450979,4.0,8.0,3.0
28,2010,ANA,65,38,27,186,181,0.5846153846153846,0.4153846153846154,1.60897435897436,1.6487179487179462,5.0,6.0,9.0
102,2010,WSH,72,42,30,190,169,0.5833333333333334,0.4166666666666667,1.613425925925926,1.571759259259256,6.0,7.0,6.0
68,2010,LA,70,40,30,194,178,0.5714285714285714,0.42857142857142855,1.6023809523809538,1.559523809523809,7.0,3.0,4.0
4,2010,PHI,72,41,31,235,207,0.5694444444444444,0.4305555555555556,1.5925925925925943,1.5717592592592577,8.0,2.0,7.0
6,2010,PIT,71,40,31,204,180,0.5633802816901409,0.43661971830985913,1.6420187793427208,1.561032863849763,9.0,9.0,5.0
42,2010,NYR,73,41,32,223,177,0.5616438356164384,0.4383561643835616,1.712328767123286,1.680365296803651,10.0,13.0,12.0
38,2010,PHX,69,38,31,205,193,0.5507246376811594,0.4492753623188406,1.6884057971014468,1.678743961352655,11.0,11.0,11.0
0,2010,MTL,68,37,31,188,181,0.5441176470588235,0.45588235294117646,1.7340686274509807,1.8259803921568662,12.0,14.0,17.0
12,2010,CHI,52,28,24,172,144,0.5384615384615384,0.46153846153846156,1.6842948717948718,1.6666666666666656,13.5,10.0,10.0
32,2010,BUF,65,35,30,200,186,0.5384615384615384,0.46153846153846156,1.7423076923076932,1.7000000000000002,13.5,15.0,15.0
62,2010,NSH,72,38,34,196,173,0.5277777777777778,0.4722222222222222,1.711805555555551,1.687499999999997,15.0,12.0,13.0
16,2010,CGY,72,37,35,224,211,0.5138888888888888,0.4861111111111111,1.7557870370370372,1.8333333333333366,16.0,17.0,18.0
48,2010,DAL,71,36,35,201,210,0.5070422535211268,0.49295774647887325,1.7629107981220673,1.8356807511737123,17.0,18.0,19.0
8,2010,CAR,76,38,38,222,218,0.5,0.5,1.7510964912280702,1.804824561403509,18.0,16.0,16.0
2,2010,TOR,70,34,36,195,218,0.4857142857142857,0.5142857142857142,1.8345238095238134,1.8880952380952387,19.0,23.0,25.0
10,2010,MIN,68,33,35,173,194,0.4852941176470588,0.5147058823529411,1.7879901960784328,1.8382352941176505,20.0,20.0,20.0
118,2010,TB,38,18,20,112,126,0.47368421052631576,0.5263157894736842,1.7719298245614037,2.0,21.0,19.0,28.5
58,2010,STL,66,30,36,198,191,0.45454545454545453,0.5454545454545454,1.790404040404041,1.8409090909090946,22.0,21.0,21.0
154,2010,NJ,67,29,38,138,174,0.43283582089552236,0.5671641791044776,1.823383084577118,2.0,23.0,22.0,28.5
1128,2010,ATL,50,20,30,130,170,0.4,0.6,1.9183333333333314,1.693333333333332,24.0,26.0,14.0
20,2010,CBJ,73,29,44,192,236,0.3972602739726027,0.6027397260273972,1.8413242009132458,2.0,25.0,25.0,28.5
34,2010,OTT,71,27,44,169,225,0.38028169014084506,0.6197183098591549,1.9342723004694828,1.8474178403755903,26.0,28.0,23.0
82,2010,FLA,75,28,47,185,214,0.37333333333333335,0.6266666666666667,2.0,1.8777777777777793,27.0,29.5,24.0
50,2010,NYI,70,23,47,199,241,0.32857142857142857,0.6714285714285714,1.9202380952380926,2.0,28.0,27.0,28.5
18,2010,EDM,68,22,46,174,227,0.3235294117647059,0.6764705882352942,2.0,1.9215686274509798,29.0,29.5,26.0
14,2010,COL,64,19,45,170,233,0.296875,0.703125,1.8411458333333357,1.8411458333333361,30.0,24.0,22.0
