,Season,TeamCode,roster,F_Mean,D_Mean
35,2010,TB,18.0,1.5177797135114204,2.0
18,2010,BUF,18.0,1.5293263646922182,1.840011614401859
25,2010,NYR,18.0,1.571138211382114,2.0
45,2010,VAN,18.0,1.5760549748354638,1.8397212543554005
2,2010,PHI,18.0,1.5993902439024383,1.6666666666666679
29,2010,NYI,18.0,1.6084010840108407,2.0
11,2010,SJ,18.0,1.608894696089818,1.8484320557491294
39,2010,NSH,18.0,1.6197251258226883,1.6909407665505236
12,2010,DAL,18.0,1.6268195896244662,2.0
9,2010,EDM,18.0,1.6529616724738683,1.9294425087108018
1,2010,TOR,18.0,1.6607046070460711,1.8835656213704988
22,2010,BOS,18.0,1.6640824622531936,1.8353658536585362
21,2010,WSH,18.0,1.6755903987611318,1.7337398373983746
13,2010,NJ,18.0,1.6992837785520707,2.0
17,2010,DET,18.0,1.7128823073945019,1.7058652729384434
8,2010,CGY,18.0,1.738956639566397,1.8347125435540068
16,2010,ANA,18.0,1.7419957413859837,1.839430894308944
37,2010,STL,18.0,1.7427216415021285,1.8414634146341464
10,2010,CBJ,18.0,1.7593205574912898,2.0
44,2010,LA,18.0,1.760027100271003,1.6811846689895482
6,2010,CHI,18.0,1.7611498257839717,1.6800232288037174
4,2010,CAR,18.0,1.769376693766937,1.6869918699186996
23,2010,PHX,18.0,1.7738385598141697,1.8342044134727065
7,2010,COL,18.0,1.8132275132275126,1.8480255516840878
3,2010,PIT,18.0,1.8291231126596974,1.7115563298490135
0,2010,MTL,18.0,1.8628242353852118,1.8307200929152145
5,2010,MIN,18.0,1.8723867595818822,1.8385598141695705
20,2010,ATL,18.0,1.8850948509485088,1.7292102206736364
19,2010,OTT,18.0,1.8912601626016265,1.7137049941927998
51,2010,FLA,18.0,1.927710027100271,1.8765969802555158
